Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
280000,2.948734,0.87574565,80.1639344262295,3.2052145,0.2939463,0.00028335018,0.19445005,0.0004728053,1.0,1.0,1.0
285000,2.9879704,0.7052926,79.9622641509434,0.42220464,0.28383085,0.00028304712,0.19434905,0.0004723103,0.9814814814814815,0.9814814814814815,1.0
290000,3.0260181,-0.19480413,85.234375,1.1294032,0.289858,0.00028275498,0.19425166,0.0004718331,0.15625,0.15625,1.0
295000,3.08178,0.19731857,79.875,0.052151695,0.2822536,0.00028245474,0.1941516,0.00047134276,0.18181818181818182,0.18181818181818182,1.0
300000,3.131323,0.5620501,143.16216216216216,0.7413231,0.31274354,0.00028214644,0.19404882,0.00047083918,0.3684210526315789,0.3684210526315789,1.0
305000,3.1723118,-0.08237072,76.66176470588235,0.35042006,0.26886365,0.00028185034,0.1939501,0.00047035553,0.14705882352941177,0.14705882352941177,1.0
310000,3.210953,-0.1320847,71.14084507042253,0.34844694,0.26209646,0.0002815523,0.19385076,0.00046986874,0.14084507042253522,0.14084507042253522,1.0
315000,3.2471356,0.52578765,70.1470588235294,0.71962637,0.31183875,0.00028124687,0.19374897,0.00046936987,0.07246376811594203,0.07246376811594203,1.0
320000,3.2577565,-0.21640636,69.17142857142858,0.42597276,0.2694152,0.00028095173,0.19365056,0.00046888774,0.07042253521126761,0.07042253521126761,1.0
325000,3.280354,-0.17884468,72.1875,1.287364,0.30487975,0.00028065112,0.19355035,0.00046839676,0.09230769230769231,0.09230769230769231,1.0
330000,3.310767,0.44688043,95.14285714285714,0.12230917,0.3151796,0.00028035525,0.19345175,0.00046791355,1.0,1.0,1.0
335000,3.3298452,0.7549822,124.47826086956522,0.5859348,0.30450147,0.0002800542,0.19335142,0.00046742184,0.9565217391304348,0.9565217391304348,1.0
340000,3.3879533,0.34951264,154.93023255813952,0.21622296,0.30535653,0.0002797475,0.19324918,0.0004669209,0.6590909090909091,0.6590909090909091,1.0
345000,3.4186456,0.5688629,83.41176470588235,0.8535178,0.27414605,0.00027944823,0.19314942,0.0004664321,0.9803921568627451,0.9803921568627451,1.0
350000,3.4189377,0.4524951,91.0923076923077,0.22158289,0.767375,0.00027914552,0.1930485,0.00046593763,0.15384615384615385,0.15384615384615385,1.0
355000,3.4189382,-0.10569555,69.75714285714285,0.28917667,0.24432987,0.00027884843,0.19294946,0.0004654524,0.1267605633802817,0.1267605633802817,1.0
360000,3.4189382,0.30254284,69.30555555555556,0.29551893,0.25435042,0.00027855067,0.19285023,0.0004649661,0.14285714285714285,0.14285714285714285,1.0
365000,3.4189382,0.09162691,69.17142857142858,0.5497221,0.28539976,0.00027825008,0.19275004,0.00046447516,0.14285714285714285,0.14285714285714285,1.0
370000,3.4189382,0.13273396,69.0,0.11256854,0.2699359,0.0002779592,0.19265306,0.00046399998,0.13513513513513514,0.13513513513513514,1.0
375000,3.4189377,-0.084654145,69.15492957746478,0.24812564,0.2708629,0.00027764775,0.19254926,0.00046349125,0.1388888888888889,0.1388888888888889,1.0
380000,3.4189384,-0.021019697,69.10144927536231,0.24272709,0.27623102,0.00027734635,0.19244878,0.00046299907,0.13043478260869565,0.13043478260869565,1.0
385000,3.4189382,-0.02284232,69.30985915492958,2.3252935,0.2536277,0.00027704937,0.19234979,0.00046251397,0.1527777777777778,0.1527777777777778,1.0
390000,3.4189384,-0.031564113,68.97183098591549,0.016367873,0.25368825,0.00027675272,0.19225089,0.0004620294,0.14084507042253522,0.14084507042253522,1.0
395000,3.4189382,0.16475105,69.02898550724638,0.38870156,0.2609675,0.0002764536,0.19215119,0.00046154085,0.14285714285714285,0.14285714285714285,1.0
400000,3.4189382,-0.22343773,71.61971830985915,0.26408005,0.25002256,0.00027615193,0.19205064,0.00046104813,0.14492753623188406,0.14492753623188406,1.0
405000,3.4189382,0.016630867,69.0,0.16491494,0.2704031,0.00027585533,0.19195178,0.0004605637,0.1388888888888889,0.1388888888888889,1.0
410000,3.4189382,0.15310794,68.97183098591549,0.14276217,0.2547664,0.0002755474,0.1918491,0.0004600607,0.136986301369863,0.136986301369863,1.0
415000,3.4189382,-0.40347517,68.97183098591549,0.42924643,0.26737943,0.00027524924,0.19174972,0.00045957373,0.14084507042253522,0.14084507042253522,1.0
420000,3.4189382,0.08547709,69.47058823529412,0.3698189,0.25495934,0.00027495352,0.19165115,0.00045909066,0.17647058823529413,0.17647058823529413,1.0
425000,3.4189382,0.12483083,77.15151515151516,0.045362238,0.2692069,0.00027465433,0.19155145,0.00045860207,0.15151515151515152,0.15151515151515152,1.0
430000,3.4189384,0.7907358,72.5072463768116,0.37537432,0.2641572,0.00027435616,0.19145206,0.000458115,0.14285714285714285,0.14285714285714285,1.0
435000,3.4189382,0.14987345,69.33823529411765,0.09885213,0.27549806,0.0002740451,0.19134836,0.00045760698,0.15151515151515152,0.15151515151515152,1.0
440000,3.4189382,0.11568294,83.30434782608695,0.20464872,0.28589702,0.00027374068,0.1912469,0.00045710977,0.22,0.22,1.0
445000,3.4189382,0.46865937,110.64814814814815,0.32708064,0.32000372,0.00027344743,0.19114916,0.0004566308,1.0,1.0,1.0
450000,3.4189384,0.86212873,80.1639344262295,0.35821348,0.27788398,0.0002731466,0.19104886,0.00045613945,1.0,1.0,1.0
455000,3.4189384,0.91683286,83.70588235294117,0.34782365,0.28090617,0.00027285144,0.19095048,0.00045565734,1.0,1.0,1.0
460000,3.418938,1.2616947,188.77272727272728,0.83468986,0.26335683,0.00027253304,0.19084433,0.0004551373,0.6363636363636364,0.6363636363636364,1.0
465000,3.4189382,0.08590061,88.36206896551724,0.16401535,0.2925239,0.0002722526,0.19075085,0.0004546792,0.1694915254237288,0.1694915254237288,1.0
