Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
225000,0.93181884,None,-0.00029300782,None,None,5.479456e-07,0.23866089,0.00029332575,0.19777526,0.0004890988,1.0
230000,0.92540336,None,-0.00028821416,None,None,2.8404958e-07,0.25029564,0.00029317598,0.19772533,0.00048885413,1.0
235000,0.9267866,None,-0.0004582508,None,None,1.1717977e-07,0.24023399,0.00029302624,0.1976754,0.0004886095,1.0
240000,0.92102885,13485.0,-0.029635752,-4.046000182628632,-4.046000182628632,0.13900945,0.2445645,0.00029287577,0.19762526,0.00048836373,1.0
245000,0.9245172,None,0.00040134272,None,None,1.1582446e-06,0.2449453,0.0002927259,0.19757527,0.0004881189,1.0
250000,0.92692673,None,-0.00045344702,None,None,4.6482745e-07,0.24894562,0.00029257612,0.19752537,0.00048787432,1.0
255000,0.9239199,None,-0.0012627896,None,None,5.737523e-07,0.25249436,0.00029242638,0.19747545,0.0004876297,1.0
260000,0.9202504,None,-0.0005905656,None,None,2.3104025e-07,0.2497979,0.00029227664,0.19742553,0.0004873851,1.0
265000,0.9111197,None,-0.0005864177,None,None,4.3912064e-07,0.24268219,0.00029212493,0.19737497,0.00048713735,1.0
270000,0.9118714,None,-0.0005753715,None,None,5.031828e-07,0.24515094,0.00029197327,0.19732441,0.00048688962,1.0
275000,0.91749555,None,-0.00046074606,None,None,1.3765225e-07,0.24448945,0.0002918235,0.1972745,0.00048664497,1.0
280000,0.9207702,42028.0,-0.027166544,-12.608000755310059,-12.608000755310059,0.7752717,0.24100205,0.00029167382,0.19722459,0.00048640044,1.0
285000,0.927451,770.0,-0.0063868114,-0.23200000822544098,-0.23200000822544098,6.411185e-05,0.24515788,0.00029152445,0.19717482,0.00048615655,1.0
290000,0.92430854,2780.0,-0.06806076,-2.833999991416931,-2.833999991416931,0.052763425,0.24876775,0.00029137483,0.19712493,0.0004859122,1.0
295000,0.9097291,4422.5,-0.015835447,-3.3270002603530884,-3.3270002603530884,0.06137821,0.2417762,0.000291225,0.197075,0.00048566738,1.0
